Order_Date,Region,Product_Category,Sales,Cost,Profit,Customer_Segment,Salesperson,Payment_Method,Profit_margin,sales_category,Month,Profit_status,Year
27-12-2024,Central,Electronics,13130.99,8749.8,4381.19,Small Business,S. Patel,Debit Card,33.37%,High,Dec,Excellent,2024
10-08-2025,Central,Electronics,9384.65,6886.35,2498.3,Small Business,V. Gupta,Credit Card,26.62%,Medium,Aug,low,2025
21-02-2024,East,Furniture,13220.74,8368.98,4851.76,Consumer,S. Patel,Cash,36.70%,High,Feb,Excellent,2024
15-12-2023,North,Accessories,1356.76,862.32,494.44,Corporate,R. Sharma,UPI,36.44%,Low,Dec,good,2023
09-06-2024,West,Furniture,4182.4,2459,1723.4,Corporate,M. Rao,UPI,41.21%,Low,Jun,low,2024
09-08-2025,North,Furniture,5499.78,3999.09,1500.69,Corporate,P. Singh,Bank Transfer,27.29%,Medium,Aug,low,2025
19-08-2023,South,Electronics,6187.74,5335.95,851.79,Consumer,A. Kumar,Debit Card,13.77%,Medium,Aug,low,2023
22-11-2023,North,Accessories,12795.92,8158.24,4637.68,Corporate,M. Rao,UPI,36.24%,High,Nov,Excellent,2023
17-09-2024,Central,Accessories,7387.16,4899.18,2487.98,Enterprise,S. Patel,UPI,33.68%,Medium,Sep,low,2024
17-10-2025,West,Office Supplies,1947.49,1794.65,152.84,Enterprise,K. Das,UPI,7.85%,Low,Oct,good,2025
25-10-2023,North,Electronics,10182.9,6092.94,4089.96,Enterprise,N. Iyer,Credit Card,40.16%,High,Oct,Excellent,2023
27-11-2024,South,Software,2654.14,1805.15,848.99,Corporate,M. Rao,UPI,31.99%,Low,Nov,low,2024
29-11-2024,Central,Electronics,8277.16,7882.92,394.24,Consumer,A. Kumar,Credit Card,4.76%,Medium,Nov,good,2024
02-11-2024,South,Software,2283.43,1580.17,703.26,Consumer,R. Sharma,UPI,30.80%,Low,Nov,low,2024
11-07-2023,West,Office Supplies,10413.14,8869.25,1543.89,Enterprise,V. Gupta,Debit Card,14.83%,High,Jul,low,2023
29-07-2024,Central,Accessories,4818.02,2740.7,2077.32,Consumer,N. Iyer,Credit Card,43.12%,Low,Jul,low,2024
17-10-2023,Central,Furniture,7149.42,5299.18,1850.24,Consumer,P. Singh,Debit Card,25.88%,Medium,Oct,low,2023
24-11-2023,South,Software,7919.41,5395.81,2523.6,Consumer,S. Patel,Cash,31.87%,Medium,Nov,low,2023
26-09-2023,Central,Accessories,7233.85,5612.5,1621.35,Small Business,M. Rao,Debit Card,22.41%,Medium,Sep,low,2023
10-04-2025,East,Software,2950.4,2224.3,726.1,Small Business,P. Singh,Credit Card,24.61%,Low,Apr,low,2025
30-01-2026,North,Electronics,7811.04,5628.32,2182.72,Corporate,M. Rao,Debit Card,27.94%,Medium,Jan,low,2026
20-06-2025,East,Office Supplies,12568.01,7939.69,4628.32,Corporate,V. Gupta,Cash,36.83%,High,Jun,Excellent,2025
17-03-2025,Central,Electronics,9321.44,5543.93,3777.51,Small Business,P. Singh,Debit Card,40.52%,Medium,Mar,Excellent,2025
29-12-2024,Central,Furniture,1253.24,1127.32,125.92,Small Business,M. Rao,Cash,10.05%,Low,Dec,good,2024
10-09-2024,East,Accessories,7380.96,6486.75,894.21,Enterprise,M. Rao,Credit Card,12.12%,Medium,Sep,low,2024
12-01-2024,North,Electronics,9018.63,5745.13,3273.5,Small Business,R. Sharma,Bank Transfer,36.30%,Medium,Jan,Excellent,2024
01-06-2024,West,Accessories,9189.55,6696.96,2492.59,Consumer,P. Singh,Credit Card,27.12%,Medium,Jun,low,2024
07-05-2024,Central,Accessories,7854.67,4955.75,2898.92,Corporate,K. Das,Debit Card,36.91%,Medium,May,low,2024
30-09-2023,North,Office Supplies,4826.74,2843.5,1983.24,Corporate,S. Patel,Credit Card,41.09%,Low,Sep,low,2023
30-06-2025,West,Accessories,11221.29,7043.03,4178.26,Corporate,S. Patel,Debit Card,37.24%,High,Jun,Excellent,2025
03-07-2024,East,Software,8075.14,7944.6,130.54,Corporate,M. Rao,Debit Card,1.62%,Medium,Jul,good,2024
13-02-2024,West,Furniture,3605.41,3504.62,100.79,Corporate,V. Gupta,Bank Transfer,2.80%,Low,Feb,good,2024
23-03-2025,South,Electronics,11708.55,7402.77,4305.78,Corporate,K. Das,Bank Transfer,36.77%,High,Mar,Excellent,2025
27-01-2025,East,Office Supplies,12797.01,7792.74,5004.27,Enterprise,N. Iyer,Credit Card,39.10%,High,Jan,Excellent,2025
28-02-2024,Central,Office Supplies,9275.29,7905.64,1369.65,Consumer,P. Singh,Cash,14.77%,Medium,Feb,low,2024
12-12-2025,West,Accessories,5068.74,3176.62,1892.12,Consumer,K. Das,Cash,37.33%,Medium,Dec,low,2025
30-07-2024,North,Accessories,3728.05,2367.03,1361.02,Corporate,N. Iyer,UPI,36.51%,Low,Jul,low,2024
27-11-2023,Central,Office Supplies,13726.15,8544.98,5181.17,Consumer,M. Rao,Cash,37.75%,High,Nov,Excellent,2023
31-03-2025,East,Accessories,7379.62,6035.35,1344.27,Corporate,S. Patel,UPI,18.22%,Medium,Mar,low,2025
21-08-2025,Central,Accessories,9899.04,6128.13,3770.91,Small Business,K. Das,Cash,38.09%,Medium,Aug,Excellent,2025
07-07-2023,Central,Accessories,3263.25,2804.49,458.76,Small Business,V. Gupta,UPI,14.06%,Low,Jul,good,2023
28-12-2025,South,Electronics,8243.58,6113.08,2130.5,Small Business,N. Iyer,Credit Card,25.84%,Medium,Dec,low,2025
30-10-2024,South,Furniture,7020.75,6087.88,932.87,Consumer,A. Kumar,Debit Card,13.29%,Medium,Oct,low,2024
06-03-2026,West,Software,8479.2,5540.34,2938.86,Corporate,K. Das,UPI,34.66%,Medium,Mar,low,2026
02-10-2025,North,Electronics,3493.61,2271.46,1222.15,Enterprise,S. Patel,Debit Card,34.98%,Low,Oct,low,2025
01-06-2026,North,Software,5929.39,4234.49,1694.9,Corporate,V. Gupta,Cash,28.58%,Medium,Jun,low,2026
16-04-2025,Central,Accessories,13576.94,8555.35,5021.59,Enterprise,V. Gupta,Debit Card,36.99%,High,Apr,Excellent,2025
05-03-2026,East,Accessories,6333.41,4105.62,2227.79,Enterprise,S. Patel,Bank Transfer,35.18%,Medium,Mar,low,2026
23-12-2025,East,Office Supplies,1067.83,789.6,278.23,Small Business,P. Singh,Debit Card,26.06%,Low,Dec,good,2025
10-05-2024,South,Electronics,3403.83,2158.23,1245.6,Enterprise,K. Das,Bank Transfer,36.59%,Low,May,low,2024
15-02-2026,West,Software,4375.44,3800.39,575.05,Consumer,K. Das,UPI,13.14%,Low,Feb,low,2026
19-07-2023,West,Software,10160.91,8490.4,1670.51,Corporate,V. Gupta,Debit Card,16.44%,High,Jul,low,2023
15-01-2025,East,Software,4062.75,3978.94,83.81,Corporate,V. Gupta,Debit Card,2.06%,Low,Jan,good,2025
04-07-2026,Central,Electronics,617.39,340,277.39,Consumer,K. Das,Debit Card,44.93%,Low,Jul,good,2026
06-02-2026,East,Furniture,2115.54,1717.39,398.15,Enterprise,N. Iyer,Bank Transfer,18.82%,Low,Feb,good,2026
21-08-2025,West,Office Supplies,4522.54,2576.48,1946.06,Consumer,V. Gupta,Credit Card,43.03%,Low,Aug,low,2025
21-10-2023,North,Electronics,11063.77,8999.18,2064.59,Consumer,S. Patel,Debit Card,18.66%,High,Oct,low,2023
17-08-2023,West,Electronics,6554.95,5629.89,925.06,Corporate,V. Gupta,Bank Transfer,14.11%,Medium,Aug,low,2023
31-07-2025,North,Furniture,2477.47,1593.32,884.15,Small Business,P. Singh,Cash,35.69%,Low,Jul,low,2025
28-08-2023,West,Software,11545.65,8367.1,3178.55,Corporate,P. Singh,Cash,27.53%,High,Aug,Excellent,2023
15-11-2024,Central,Electronics,1859.86,1006.92,852.94,Consumer,N. Iyer,Cash,45.86%,Low,Nov,low,2024
30-11-2025,East,Electronics,6269.75,5987.54,282.21,Enterprise,V. Gupta,Credit Card,4.50%,Medium,Nov,good,2025
10-12-2025,West,Furniture,12267.87,8651.01,3616.86,Enterprise,R. Sharma,Cash,29.48%,High,Dec,Excellent,2025
10-01-2025,West,Software,9121.2,5581.62,3539.58,Enterprise,M. Rao,Bank Transfer,38.81%,Medium,Jan,Excellent,2025
20-11-2024,West,Furniture,7926.49,7493.51,432.98,Enterprise,K. Das,Bank Transfer,5.46%,Medium,Nov,good,2024
03-09-2023,West,Furniture,5539.24,4499.33,1039.91,Small Business,M. Rao,Bank Transfer,18.77%,Medium,Sep,low,2023
29-01-2025,East,Accessories,11623.71,7934.85,3688.86,Consumer,S. Patel,Credit Card,31.74%,High,Jan,Excellent,2025
12-11-2024,South,Software,8660.94,6508.66,2152.28,Enterprise,V. Gupta,Credit Card,24.85%,Medium,Nov,low,2024
13-01-2024,South,Office Supplies,3580.57,2718.7,861.87,Small Business,V. Gupta,Cash,24.07%,Low,Jan,low,2024
28-06-2026,Central,Office Supplies,5547.03,3159.44,2387.59,Small Business,V. Gupta,Bank Transfer,43.04%,Medium,Jun,low,2026
25-03-2025,South,Office Supplies,2567.04,2337.49,229.55,Consumer,R. Sharma,Debit Card,8.94%,Low,Mar,good,2025
22-09-2024,Central,Accessories,7918.98,6673.58,1245.4,Small Business,P. Singh,Debit Card,15.73%,Medium,Sep,low,2024
04-03-2025,North,Accessories,2443.07,2124.6,318.47,Corporate,M. Rao,Credit Card,13.04%,Low,Mar,good,2025
26-10-2023,South,Software,7476.27,5024.89,2451.38,Consumer,A. Kumar,Cash,32.79%,Medium,Oct,low,2023
08-02-2025,South,Electronics,5628.36,4277.63,1350.73,Small Business,V. Gupta,Credit Card,24.00%,Medium,Feb,low,2025
17-11-2023,North,Furniture,3866.31,3666.3,200.01,Corporate,M. Rao,Credit Card,5.17%,Low,Nov,good,2023
26-11-2024,Central,Accessories,2065.84,1154.22,911.62,Corporate,K. Das,UPI,44.13%,Low,Nov,low,2024
29-12-2025,West,Office Supplies,4010.51,2746.44,1264.07,Consumer,P. Singh,Debit Card,31.52%,Low,Dec,low,2025
11-09-2024,South,Furniture,2615.55,2455.35,160.2,Consumer,R. Sharma,Credit Card,6.12%,Low,Sep,good,2024
20-10-2025,East,Electronics,5870.54,4109.48,1761.06,Corporate,M. Rao,Bank Transfer,30.00%,Medium,Oct,low,2025
21-01-2026,East,Accessories,952.94,733.5,219.44,Corporate,K. Das,Credit Card,23.03%,Low,Jan,good,2026
09-10-2024,South,Electronics,9514.28,5863.95,3650.33,Consumer,R. Sharma,Bank Transfer,38.37%,Medium,Oct,Excellent,2024
17-02-2025,East,Software,5370.08,4008.47,1361.61,Small Business,V. Gupta,UPI,25.36%,Medium,Feb,low,2025
18-12-2023,East,Accessories,8760.99,5422.53,3338.46,Small Business,A. Kumar,Credit Card,38.11%,Medium,Dec,Excellent,2023
17-10-2024,Central,Accessories,13423.14,8661.01,4762.13,Consumer,M. Rao,Cash,35.48%,High,Oct,Excellent,2024
27-09-2023,Central,Software,7703.68,6891.67,812.01,Small Business,R. Sharma,Cash,10.54%,Medium,Sep,low,2023
15-12-2025,North,Software,7691.77,5749.58,1942.19,Small Business,K. Das,Bank Transfer,25.25%,Medium,Dec,low,2025
24-04-2025,East,Software,9613.93,6064.19,3549.74,Enterprise,M. Rao,UPI,36.92%,Medium,Apr,Excellent,2025
20-09-2023,East,Electronics,5087.97,4147.95,940.02,Enterprise,A. Kumar,Cash,18.48%,Medium,Sep,low,2023
07-02-2026,East,Accessories,4296.89,3777.9,518.99,Enterprise,V. Gupta,Credit Card,12.08%,Low,Feb,low,2026
26-08-2024,East,Software,2737,2476.8,260.2,Enterprise,P. Singh,Credit Card,9.51%,Low,Aug,good,2024
08-11-2024,North,Accessories,7768.91,6417.07,1351.84,Enterprise,P. Singh,Debit Card,17.40%,Medium,Nov,low,2024
24-02-2024,South,Software,4562.12,4206.89,355.23,Small Business,M. Rao,UPI,7.79%,Low,Feb,good,2024
21-03-2026,Central,Furniture,10236.48,8824.18,1412.3,Enterprise,S. Patel,Cash,13.80%,High,Mar,low,2026
12-05-2026,North,Office Supplies,7362.46,6742,620.46,Enterprise,N. Iyer,Cash,8.43%,Medium,May,low,2026
04-01-2025,East,Accessories,8800.61,7402.89,1397.72,Enterprise,R. Sharma,UPI,15.88%,Medium,Jan,low,2025
24-03-2026,Central,Software,4497.84,3171.6,1326.24,Enterprise,N. Iyer,Debit Card,29.49%,Low,Mar,low,2026
07-11-2024,West,Electronics,6032.95,5189,843.95,Small Business,V. Gupta,UPI,13.99%,Medium,Nov,low,2024
04-09-2025,South,Software,13522.98,8896.88,4626.1,Consumer,R. Sharma,Cash,34.21%,High,Sep,Excellent,2025
16-05-2025,West,Electronics,12389.79,7840.33,4549.46,Enterprise,A. Kumar,Debit Card,36.72%,High,May,Excellent,2025
23-10-2025,North,Software,12905.53,7851.3,5054.23,Small Business,N. Iyer,Cash,39.16%,High,Oct,Excellent,2025
28-09-2025,Central,Software,9316.27,5883.55,3432.72,Small Business,V. Gupta,Cash,36.85%,Medium,Sep,Excellent,2025
18-09-2023,East,Furniture,6500.95,5595.39,905.56,Consumer,K. Das,Credit Card,13.93%,Medium,Sep,low,2023
28-01-2024,North,Electronics,6081.64,4048.74,2032.9,Small Business,A. Kumar,Bank Transfer,33.43%,Medium,Jan,low,2024
10-07-2025,Central,Software,3808.99,3436.09,372.9,Corporate,R. Sharma,Debit Card,9.79%,Low,Jul,good,2025
15-12-2023,South,Software,6983.77,5524.48,1459.29,Corporate,S. Patel,UPI,20.90%,Medium,Dec,low,2023
08-12-2024,West,Office Supplies,6200.11,4190.18,2009.93,Corporate,P. Singh,UPI,32.42%,Medium,Dec,low,2024
13-06-2025,West,Office Supplies,10635.38,8890.1,1745.28,Enterprise,M. Rao,Debit Card,16.41%,High,Jun,low,2025
01-09-2025,West,Accessories,8240.41,7694.69,545.72,Small Business,M. Rao,Bank Transfer,6.62%,Medium,Sep,low,2025
20-08-2023,East,Electronics,12609.74,8803.71,3806.03,Consumer,V. Gupta,Bank Transfer,30.18%,High,Aug,Excellent,2023
20-10-2024,South,Accessories,6842.31,5502.88,1339.43,Small Business,R. Sharma,Credit Card,19.58%,Medium,Oct,low,2024
25-09-2023,Central,Office Supplies,3823.59,2849.5,974.09,Corporate,P. Singh,Bank Transfer,25.48%,Low,Sep,low,2023
06-05-2025,South,Accessories,7552.01,6752.58,799.43,Small Business,M. Rao,Debit Card,10.59%,Medium,May,low,2025
14-12-2024,East,Office Supplies,13372.39,8235.04,5137.35,Consumer,V. Gupta,Credit Card,38.42%,High,Dec,Excellent,2024
20-04-2024,West,Accessories,7846.88,6811.95,1034.93,Small Business,P. Singh,UPI,13.19%,Medium,Apr,low,2024
04-08-2023,East,Office Supplies,2697.42,2453.68,243.74,Enterprise,N. Iyer,Credit Card,9.04%,Low,Aug,good,2023
27-10-2024,Central,Office Supplies,6202.91,4296.14,1906.77,Corporate,P. Singh,UPI,30.74%,Medium,Oct,low,2024
16-03-2025,North,Electronics,6348.08,5878.23,469.85,Small Business,V. Gupta,Credit Card,7.40%,Medium,Mar,good,2025
22-01-2024,West,Software,3164.74,2189.72,975.02,Small Business,K. Das,Cash,30.81%,Low,Jan,low,2024
18-05-2024,West,Accessories,11443.48,7980.18,3463.3,Enterprise,M. Rao,Credit Card,30.26%,High,May,Excellent,2024
03-08-2025,South,Office Supplies,2798.67,2033.7,764.97,Consumer,N. Iyer,Cash,27.33%,Low,Aug,low,2025
10-07-2025,North,Software,882.6,638.9,243.7,Consumer,S. Patel,Cash,27.61%,Low,Jul,good,2025
19-08-2023,South,Accessories,826.99,550.15,276.84,Corporate,P. Singh,Cash,33.48%,Low,Aug,good,2023
03-09-2024,South,Office Supplies,8320.02,5318.81,3001.21,Corporate,A. Kumar,Bank Transfer,36.07%,Medium,Sep,Excellent,2024
28-04-2024,South,Electronics,12040.28,8888.99,3151.29,Consumer,R. Sharma,Credit Card,26.17%,High,Apr,Excellent,2024
09-07-2025,East,Electronics,8267.82,7130.86,1136.96,Corporate,M. Rao,Credit Card,13.75%,Medium,Jul,low,2025
22-03-2024,North,Software,9079.6,6701.29,2378.31,Enterprise,N. Iyer,Cash,26.19%,Medium,Mar,low,2024
15-02-2024,Central,Electronics,4781.67,4122.85,658.82,Small Business,V. Gupta,Credit Card,13.78%,Low,Feb,low,2024
08-11-2023,West,Electronics,13980.09,8987.42,4992.67,Enterprise,V. Gupta,Credit Card,35.71%,High,Nov,Excellent,2023
19-12-2023,South,Office Supplies,3305.01,2966.8,338.21,Small Business,K. Das,Cash,10.23%,Low,Dec,good,2023
27-06-2026,West,Electronics,3803.82,2724.59,1079.23,Consumer,S. Patel,UPI,28.37%,Low,Jun,low,2026
16-01-2026,West,Software,10198.22,8004.01,2194.21,Enterprise,P. Singh,Bank Transfer,21.52%,High,Jan,low,2026
27-11-2025,South,Software,3449.58,2881.46,568.12,Consumer,P. Singh,Credit Card,16.47%,Low,Nov,low,2025
13-01-2024,East,Furniture,6077.86,3943.7,2134.16,Consumer,N. Iyer,Credit Card,35.11%,Medium,Jan,low,2024
25-10-2025,West,Electronics,4875.91,3247.02,1628.89,Small Business,M. Rao,Bank Transfer,33.41%,Low,Oct,low,2025
04-02-2024,West,Furniture,6019.13,5243.47,775.66,Consumer,N. Iyer,Cash,12.89%,Medium,Feb,low,2024
28-07-2025,South,Software,1449.38,1122.48,326.9,Consumer,M. Rao,Credit Card,22.55%,Low,Jul,good,2025
10-07-2024,East,Office Supplies,4071.62,2532.11,1539.51,Consumer,R. Sharma,Debit Card,37.81%,Low,Jul,low,2024
04-10-2025,North,Electronics,1409.59,719.31,690.28,Corporate,K. Das,UPI,48.97%,Low,Oct,low,2025
21-01-2026,East,Accessories,4014.84,3133.97,880.87,Consumer,A. Kumar,Debit Card,21.94%,Low,Jan,low,2026
24-05-2024,North,Office Supplies,7042.82,6814.48,228.34,Enterprise,K. Das,UPI,3.24%,Medium,May,good,2024
28-12-2025,Central,Electronics,4383.74,3786.24,597.5,Small Business,K. Das,Credit Card,13.63%,Low,Dec,low,2025
06-02-2025,Central,Office Supplies,8616.44,6136.14,2480.3,Consumer,S. Patel,UPI,28.79%,Medium,Feb,low,2025
27-10-2023,South,Furniture,349.59,168.42,181.17,Small Business,M. Rao,Bank Transfer,51.82%,Low,Oct,good,2023
08-03-2024,South,Furniture,617.96,168.8,449.16,Enterprise,S. Patel,Cash,72.68%,Low,Mar,good,2024
01-07-2025,North,Software,1555.74,741.47,814.27,Consumer,V. Gupta,Credit Card,52.34%,Low,Jul,low,2025
08-04-2025,West,Office Supplies,7308.31,5224.26,2084.05,Consumer,K. Das,Credit Card,28.52%,Medium,Apr,low,2025
02-05-2025,West,Office Supplies,3030.06,1629.67,1400.39,Consumer,K. Das,Credit Card,46.22%,Low,May,low,2025
16-11-2024,North,Software,5133.42,3977.52,1155.9,Small Business,N. Iyer,Debit Card,22.52%,Medium,Nov,low,2024
19-05-2025,North,Accessories,7394.7,7034.15,360.55,Corporate,N. Iyer,Bank Transfer,4.88%,Medium,May,good,2025
04-05-2024,South,Furniture,2469.56,2202.79,266.77,Corporate,P. Singh,Debit Card,10.80%,Low,May,good,2024
13-04-2026,Central,Software,5941.53,4229.18,1712.35,Small Business,N. Iyer,Debit Card,28.82%,Medium,Apr,low,2026
23-12-2025,East,Office Supplies,1116.64,707.75,408.89,Consumer,N. Iyer,Cash,36.62%,Low,Dec,good,2025
05-12-2023,North,Office Supplies,3864.78,2862.63,1002.15,Small Business,P. Singh,Credit Card,25.93%,Low,Dec,low,2023
10-05-2026,North,Software,5038.37,3521.89,1516.48,Corporate,N. Iyer,Cash,30.10%,Medium,May,low,2026
07-03-2026,West,Electronics,7662.61,4562.17,3100.44,Small Business,P. Singh,Cash,40.46%,Medium,Mar,Excellent,2026
24-06-2024,West,Accessories,992.53,448.36,544.17,Corporate,N. Iyer,Bank Transfer,54.83%,Low,Jun,low,2024
05-02-2025,Central,Electronics,5583.93,3548.01,2035.92,Small Business,P. Singh,Bank Transfer,36.46%,Medium,Feb,low,2025
16-01-2024,East,Accessories,6434.12,5065.87,1368.25,Corporate,N. Iyer,Credit Card,21.27%,Medium,Jan,low,2024
21-04-2024,West,Furniture,9951.49,8259.04,1692.45,Consumer,M. Rao,Cash,17.01%,Medium,Apr,low,2024
16-08-2025,South,Accessories,7139.77,5827.09,1312.68,Consumer,K. Das,Cash,18.39%,Medium,Aug,low,2025
17-07-2025,South,Office Supplies,465.28,262.25,203.03,Enterprise,S. Patel,Debit Card,43.64%,Low,Jul,good,2025
13-04-2024,North,Accessories,1889.39,1479.01,410.38,Consumer,N. Iyer,Cash,21.72%,Low,Apr,good,2024
31-03-2024,South,Accessories,5993.83,5415.49,578.34,Corporate,V. Gupta,Credit Card,9.65%,Medium,Mar,low,2024
25-10-2025,West,Accessories,5145.08,3342.26,1802.82,Small Business,V. Gupta,Debit Card,35.04%,Medium,Oct,low,2025
04-07-2026,West,Furniture,4002.56,2228.6,1773.96,Small Business,V. Gupta,UPI,44.32%,Low,Jul,low,2026
03-02-2025,West,Furniture,9396.6,7025.3,2371.3,Corporate,R. Sharma,Bank Transfer,25.24%,Medium,Feb,low,2025
21-10-2023,Central,Electronics,9288.88,5806.49,3482.39,Consumer,M. Rao,Credit Card,37.49%,Medium,Oct,Excellent,2023
30-05-2024,South,Software,4353.57,2527.84,1825.73,Consumer,S. Patel,UPI,41.94%,Low,May,low,2024
21-06-2025,West,Accessories,10675.05,8381.2,2293.85,Small Business,S. Patel,UPI,21.49%,High,Jun,low,2025
21-12-2023,North,Office Supplies,3508.94,3436.72,72.22,Corporate,R. Sharma,Credit Card,2.06%,Low,Dec,good,2023
13-02-2025,South,Software,10843.91,8264.83,2579.08,Enterprise,A. Kumar,Credit Card,23.78%,High,Feb,low,2025
14-08-2023,Central,Accessories,3986.39,2377.72,1608.67,Enterprise,P. Singh,Bank Transfer,40.35%,Low,Aug,low,2023
04-11-2024,West,Accessories,2883.78,2780.25,103.53,Enterprise,P. Singh,Credit Card,3.59%,Low,Nov,good,2024
25-04-2026,Central,Accessories,5472.56,5410.98,61.58,Corporate,R. Sharma,Bank Transfer,1.13%,Medium,Apr,good,2026
02-12-2025,Central,Software,314.44,113.92,200.52,Corporate,P. Singh,Cash,63.77%,Low,Dec,good,2025
14-07-2025,Central,Accessories,1187.07,702.35,484.72,Consumer,K. Das,UPI,40.83%,Low,Jul,good,2025
04-10-2023,East,Electronics,9636.97,5757.47,3879.5,Small Business,P. Singh,Bank Transfer,40.26%,Medium,Oct,Excellent,2023
11-11-2024,Central,Office Supplies,9433.94,6623.18,2810.76,Corporate,A. Kumar,Bank Transfer,29.79%,Medium,Nov,low,2024
30-05-2025,West,Software,8198.89,7340.23,858.66,Corporate,R. Sharma,Credit Card,10.47%,Medium,May,low,2025
29-01-2026,South,Electronics,581.86,429.16,152.7,Small Business,M. Rao,Cash,26.24%,Low,Jan,good,2026
29-09-2025,East,Electronics,12075.53,8903.19,3172.34,Corporate,M. Rao,Bank Transfer,26.27%,High,Sep,Excellent,2025
12-10-2023,North,Office Supplies,9526.09,7805.6,1720.49,Enterprise,K. Das,UPI,18.06%,Medium,Oct,low,2023
05-09-2025,West,Office Supplies,3560.27,3117.43,442.84,Small Business,P. Singh,UPI,12.44%,Low,Sep,good,2025
15-12-2023,South,Accessories,6777.82,3932.4,2845.42,Small Business,N. Iyer,Credit Card,41.98%,Medium,Dec,low,2023
17-12-2023,West,Accessories,3701.74,3018.49,683.25,Enterprise,R. Sharma,UPI,18.46%,Low,Dec,low,2023
25-06-2025,East,Accessories,6221.86,4079.45,2142.41,Enterprise,M. Rao,Credit Card,34.43%,Medium,Jun,low,2025
07-12-2023,Central,Furniture,7756.93,6073.54,1683.39,Consumer,R. Sharma,Cash,21.70%,Medium,Dec,low,2023
20-12-2025,East,Office Supplies,459.85,409.71,50.14,Enterprise,A. Kumar,Cash,10.90%,Low,Dec,good,2025
16-05-2024,East,Software,10115.61,6143.65,3971.96,Consumer,R. Sharma,Cash,39.27%,High,May,Excellent,2024
27-07-2025,South,Electronics,5386.9,3642.5,1744.4,Consumer,R. Sharma,UPI,32.38%,Medium,Jul,low,2025
01-06-2026,East,Office Supplies,5019.43,3544.19,1475.24,Enterprise,S. Patel,Cash,29.39%,Medium,Jun,low,2026
10-02-2025,South,Electronics,10536.44,6276.43,4260.01,Corporate,P. Singh,UPI,40.43%,High,Feb,Excellent,2025
24-06-2024,North,Office Supplies,10483.57,8098.24,2385.33,Small Business,P. Singh,Cash,22.75%,High,Jun,low,2024
20-02-2025,South,Office Supplies,12561.85,8032.85,4529,Corporate,P. Singh,Debit Card,36.05%,High,Feb,Excellent,2025
16-04-2024,East,Accessories,3108.13,2206.95,901.18,Small Business,V. Gupta,Cash,28.99%,Low,Apr,low,2024
28-03-2024,East,Software,5876.36,5546.34,330.02,Enterprise,K. Das,UPI,5.62%,Medium,Mar,good,2024
05-12-2023,North,Software,1605.11,1215.41,389.7,Enterprise,N. Iyer,Debit Card,24.28%,Low,Dec,good,2023
13-07-2024,Central,Electronics,7534.55,6933.26,601.29,Consumer,R. Sharma,Bank Transfer,7.98%,Medium,Jul,low,2024
08-06-2024,South,Office Supplies,2873.42,1541.51,1331.91,Small Business,P. Singh,Bank Transfer,46.35%,Low,Jun,low,2024
12-08-2024,South,Office Supplies,7928.5,5752.01,2176.49,Consumer,R. Sharma,Cash,27.45%,Medium,Aug,low,2024
17-05-2024,Central,Office Supplies,2544.31,1623.69,920.62,Consumer,A. Kumar,Credit Card,36.18%,Low,May,low,2024
08-10-2023,East,Furniture,12879.26,8542.07,4337.19,Enterprise,A. Kumar,UPI,33.68%,High,Oct,Excellent,2023
